"Name","csuoee__Part_Of_Term_Reference__c","csuoee__Term__r.csuoee__ODS_Term_ID__c","csuoee__Drop_Date__c","csuoee__Withdraw_50_Date__c","csuoee__Withdraw_0_Date__c"
"ZLG","202160-ZLG","202160","2021-06-16","2021-06-27","2021-08-06"
"ZLF","202160-ZLF","202160","2021-06-16","2021-06-23","2021-08-06"
"ZLH","202160-ZLH","202160","2021-06-17","2021-06-30","2021-08-06"
"ZLK","202160-ZLK","202160","2021-06-21","2021-07-12","2021-08-06"
"ZLJ","202160-ZLJ","202160","2021-06-21","2021-07-08",""
"2P","202160-2P","202160","","",""
"CA","202160-CA","202160","","",""
"CD","202160-CD","202160","","",""
"CF","202160-CF","202160","","",""
"CJ","202160-CJ","202160","","",""
"ZUD","202160-ZUD","202160","2021-08-17","2021-08-18",""
"D2","202160-D2","202160","","",""
"QSP","202160-QSP","202160","","",""
"ZMD","202160-ZMD","202160","2021-06-23","2021-06-24","2021-08-06"
"ZMH","202160-ZMH","202160","2021-06-24","2021-07-08","2021-08-06"
"ZMJ","202160-ZMJ","202160","2021-06-28","2021-07-15",""
"JF2","202160-JF2","202160","","",""
"ZMI","202160-ZMI","202160","2021-06-27","2021-07-12","2021-08-06"
"DA","202160-DA","202160","","",""
"DC","202160-DC","202160","","",""
"DD","202160-DD","202160","","",""
"DG","202160-DG","202160","","",""
"DH","202160-DH","202160","","",""
"DI","202160-DI","202160","","",""
"E2","202160-E2","202160","","",""
"ZNF","202160-ZNF","202160","2021-06-30","2021-07-08","2021-08-06"
"ZNI","202160-ZNI","202160","2021-07-05","2021-07-19","2021-08-06"
"MB","202160-MB","202160","","",""
"EA","202160-EA","202160","","",""
"EC","202160-EC","202160","","",""
"ED","202160-ED","202160","","",""
"EF","202160-EF","202160","","",""
"EH","202160-EH","202160","","",""
"ZFS","202160-ZFS","202160","2021-05-18","2021-06-28","2021-08-06"
"ZOF","202160-ZOF","202160","2021-07-08","2021-07-15","2021-08-06"
"ZOE","202160-ZOE","202160","2021-07-07","2021-07-12","2021-08-06"
"ZOH","202160-ZOH","202160","2021-07-11","2021-07-22","2021-08-06"
"EX","202160-EX","202160","","",""
"NA","202160-NA","202160","","",""
"ZOG","202160-ZOG","202160","2021-07-08","2021-07-19","2021-08-06"
"FA","202160-FA","202160","","",""
"ZGL","202160-ZGL","202160","2021-05-18","2021-06-10","2021-08-06"
"FI","202160-FI","202160","","",""
"ZXL","202160-ZXL","202160","2021-06-21","2021-07-25","2021-08-06"
"ZPG","202160-ZPG","202160","2021-07-14","2021-07-25","2021-08-06"
"ZPF","202160-ZPF","202160","2021-07-14","2021-07-21","2021-08-06"
"ZHE","202160-ZHE","202160","2021-05-18","2021-05-23","2021-08-06"
"ZHD","202160-ZHD","202160","2021-05-20","2021-05-21","2021-08-06"
"ZHG","202160-ZHG","202160","2021-05-19","2021-05-31","2021-08-06"
"ZHF","202160-ZHF","202160","2021-05-19","2021-05-26","2021-08-06"
"ZHI","202160-ZHI","202160","2021-05-23","2021-06-07","2021-08-06"
"ZXX","202160-ZXX","202160","","",""
"ZHK","202160-ZHK","202160","2021-05-24","2021-06-14","2021-08-06"
"ZHJ","202160-ZHJ","202160","2021-05-24","2021-06-10","2021-08-06"
"GF","202160-GF","202160","","",""
"ZHL","202160-ZHL","202160","2021-05-25","2021-06-17","2021-08-06"
"ZHO","202160-ZHO","202160","2021-05-27","2021-06-28","2021-08-06"
"GH","202160-GH","202160","","",""
"ZHN","202160-ZHN","202160","2021-05-27","2021-06-24","2021-08-06"
"ZQE","202160-ZQE","202160","2021-07-20","2021-07-25","2021-08-06"
"ZQG","202160-ZQG","202160","2021-07-21","2021-08-01","2021-08-06"
"XL","202160-XL","202160","","",""
"HF2","202160-HF2","202160","","",""
"ZIG","202160-ZIG","202160","2021-05-26","2021-06-07","2021-08-06"
"ZII","202160-ZII","202160","2021-05-31","2021-06-14","2021-08-06"
"HD","202160-HD","202160","","",""
"ZIL","202160-ZIL","202160","2021-06-02","2021-06-24","2021-08-06"
"HE","202160-HE","202160","","",""
"ZIK","202160-ZIK","202160","2021-06-01","2021-06-21","2021-08-06"
"ZIM","202160-ZIM","202160","2021-06-03","2021-06-28","2021-08-06"
"DD","202010-DD","202010","","",""
"HH","202010-HH","202010","","",""
"ZIR","202010-ZIR","202010","2020-02-05","2020-03-12",""
"ZIT","202010-ZIT","202010","2020-02-06","2020-03-26",""
"ZIS","202010-ZIS","202010","2020-02-05","2020-03-23",""
"ZIU","202010-ZIU","202010","2020-02-06","2020-03-30",""
"DM","202010-DM","202010","","",""
"I3","202010-I3","202010","","",""
"QHG","202010-QHG","202010","","",""
"ZRH","202010-ZRH","202010","2020-03-26","2020-04-08",""
"ZRK","202010-ZRK","202010","2020-03-30","2020-04-19",""
"ZRJ","202010-ZRJ","202010","2020-03-30","2020-04-15",""
"ZNI","202010-ZNI","202010","2020-03-01","2020-03-22",""
"ZNH","202010-ZNH","202010","2020-02-27","2020-03-11",""
"MC","202010-MC","202010","","",""
"ZFE","202010-ZFE","202010","2020-01-01","2020-01-06",""
"IB","202010-IB","202010","","",""
"ID","202010-ID","202010","","",""
"ZFF","202010-ZFF","202010","2020-01-02","2020-01-09",""
"ZJM","202010-ZJM","202010","2020-02-05","2020-03-01",""
"IG","202010-IG","202010","","",""
"ED","202010-ED","202010","","",""
"IH","202010-IH","202010","","",""
"12","202010-12","202010","","",""
"AD","202010-AD","202010","","",""
"ZFN","202010-ZFN","202010","2020-01-12","2020-02-09",""
"AE","202010-AE","202010","","",""
"AG","202010-AG","202010","","",""
"EK","202010-EK","202010","","",""
"AH","202010-AH","202010","","",""
"EL","202010-EL","202010","","",""
"AJ","202010-AJ","202010","","",""
"E4W","202010-E4W","202010","","",""
"AL","202010-AL","202010","","",""
"AM","202010-AM","202010","","",""
"ZSH","202010-ZSH","202010","2020-04-02","2020-04-15",""
"AP","202010-AP","202010","","",""
"RA","202010-RA","202010","","",""
"AQ","202010-AQ","202010","","",""
"1","202010-1","202010","","",""
"1B","202010-1B","202010","","",""
"ZSI","202010-ZSI","202010","2020-04-05","2020-04-19",""
"EX","202010-EX","202010","","",""
"QEI","202010-QEI","202010","","",""
"QAG","202010-QAG","202010","","",""
"ZGE","202010-ZGE","202010","2020-01-07","2020-01-12",""
"JF","202010-JF","202010","","",""
"FE","202010-FE","202010","","",""
"QAN","202010-QAN","202010","","",""
"FJ","202010-FJ","202010","","",""
"SAS","202010-SAS","202010","","",""
"ZGT","202010-ZGT","202010","2020-01-23","2020-03-05",""
"ZXD","202010-ZXD","202010","2020-05-05","2020-05-06",""
"BL","202010-BL","202010","","",""
"BO","202010-BO","202010","","",""
"ZPE","202010-ZPE","202010","2020-03-10","2020-03-22",""
"ZXM","202010-ZXM","202010","2020-02-05","2020-04-19",""
"ZTH","202010-ZTH","202010","2020-04-09","2020-04-22",""
"ZHD","202010-ZHD","202010","2020-01-15","2020-01-16",""
"ZPL","202010-ZPL","202010","2020-03-24","2020-04-15",""
"KC","202010-KC","202010","","",""
"ZPO","202010-ZPO","202010","2020-03-26","2020-04-26",""
"KE","202010-KE","202010","","",""
"QFP","202010-QFP","202010","","",""
"ZHH","202010-ZHH","202010","2020-01-16","2020-01-30",""
"ZXX","202010-ZXX","202010","","",""
"ZHO","202010-ZHO","202010","2020-01-26","2020-02-24",""
"GH","202010-GH","202010","","",""
"ZYD","202010-ZYD","202010","2020-05-12","2020-05-13",""
"CH","202010-CH","202010","","",""
"ZLV","202010-ZLV","202010","2020-02-27","2020-04-21",""
"ZHU","202010-ZHU","202010","2020-01-30","2020-03-23",""
"ZHT","202010-ZHT","202010","2020-01-30","2020-03-12",""
"F4W","202010-F4W","202010","","",""
"QSP","202010-QSP","202010","","",""
"QCG","202010-QCG","202010","","",""
"ZID","202010-ZID","202010","2020-01-20","2020-01-21",""
"XM","202010-XM","202010","","",""
"ZQK","202010-ZQK","202010","2020-03-30","2020-04-19",""
"LD","202010-LD","202010","","",""
"ZIH","202010-ZIH","202010","2020-01-26","2020-02-06",""
"ZEE","202010-ZEE","202010","2019-12-29","2020-01-02",""
"ZII","202010-ZII","202010","2020-01-27","2020-02-10",""
"HD","202010-HD","202010","","",""
"ZIL","202010-ZIL","202010","2020-01-29","2020-02-20",""
"ZIK","202010-ZIK","202010","2020-01-28","2020-02-17",""
"ZMO","202010-ZMO","202010","2020-02-27","2020-04-05",""
