"Name","Display_Name__c","hed__Account__r.hed__School_Code__c","csuoee__Banner_Designation__c","hed__Description__c","hed__Facility_Type__c"
"Diagnostic Medical Center","CSU Fort Collins - Diagnostic Medical Center","126818","DIAMD","Diagnostic Medical Center","Building"
"Health and Medical Center","CSU Fort Collins - Health and Medical Center","126818","CSUHMC","Health and Medical Center","Building"
"Computer Science Building","CSU Fort Collins - Computer Science Building","126818","COMSC","Computer Science Building","Building"
"Clark","CSU Fort Collins - Clark","126818","CLARK","Clark","Building"
"Centennial High, Ft Collins","CSU Fort Collins - Centennial High, Ft Collins","126818","CHSFC","Centennial High, Ft Collins","Building"
"Chemistry","CSU Fort Collins - Chemistry","126818","CHEM","Chemistry","Building"
"City Golf Courses","CSU Fort Collins - City Golf Courses","126818","CGOLF","City Golf Courses","Building"
"Braiden Hall","CSU Fort Collins - Braiden Hall","126818","BRAI","Braiden Hall","Building"
"Do Not Use","CSU Fort Collins - Do Not Use","126818","BIOENG","Do Not Use","Building"
"Biology","CSU Fort Collins - Biology","126818","BIO","Biology","Building"
"Behavioral Sciences Building","CSU Fort Collins - Behavioral Sciences Building","126818","BHSCI","Behavioral Sciences Building","Building"
"Boulder Chamber of Commerce","CSU Fort Collins - Boulder Chamber of Commerce","126818","BCOC","Boulder Chamber of Commerce","Building"
"Do Not Use","CSU Fort Collins - Do Not Use","126818","AYLES","Do Not Use","Building"
"Academic Village C-Engineering","CSU Fort Collins - Academic Village C-Engineering","126818","AVC","Academic Village C-Engineering","Building"
"Academic Village B-Honors","CSU Fort Collins - Academic Village B-Honors","126818","AVB","Academic Village B-Honors","Building"
"Atmospheric Science West","CSU Fort Collins - Atmospheric Science West","126818","ATSCW","Atmospheric Science West","Building"
"Atmospheric Science Building","CSU Fort Collins - Atmospheric Science Building","126818","ATSCI","Atmospheric Science Building","Building"
"ATS/CIRA Research Center","CSU Fort Collins - ATS/CIRA Research Center","126818","ATCIR","ATS/CIRA Research Center","Building"
"Visual Arts","CSU Fort Collins - Visual Arts","126818","ART","Visual Arts","Building"
"ARDEC Conference Center","CSU Fort Collins - ARDEC Conference Center","126818","ARDEC","ARDEC Conference Center","Building"
"Animal Reproduction Biotech La","CSU Fort Collins - Animal Reproduction Biotech La","126818","ARBL","Animal Reproduction Biotech La","Building"
"Animal Science","CSU Fort Collins - Animal Science","126818","ANSCI","Animal Science","Building"
"Anatomy-Zoology","CSU Fort Collins - Anatomy-Zoology","126818","ANAZO","Anatomy-Zoology","Building"
"Ammons Hall","CSU Fort Collins - Ammons Hall","126818","AMMNS","Ammons Hall","Building"
"Allison Hall","CSU Fort Collins - Allison Hall","126818","ALLI","Allison Hall","Building"
"Alder","CSU Fort Collins - Alder","126818","ALDER","Alder","Building"
"Co-Bank Center for Ag Ed","CSU Fort Collins - Co-Bank Center for Ag Ed","126818","AGEDC","Co-Bank Center for Ag Ed","Building"
"Administration Building","CSU Fort Collins - Administration Building","126818","ADMIN","Administration Building","Building"
"Adams-Atkinson Arena foothills","CSU Fort Collins - Adams-Atkinson Arena foothills","126818","ADAMS","Adams-Atkinson Arena foothills","Building"
"Anderson Academic Center","CSU Fort Collins - Anderson Academic Center","126818","AAC","Anderson Academic Center","Building"
