"hed__School_Code__c","hed__Primary_Contact__c"
"12440989","003VA00000J8xDgYAJ"
"12440988","003VA00000J8xDhYAJ"
"12440987","003VA00000J8xDkYAJ"
"12440978","003VA00000J8xDnYAJ"
"12440899","003VA00000J8xEGYAZ"
"12440898","003VA00000J8xEHYAZ"
"12440897","003VA00000J8xEFYAZ"
"12440883","003VA00000J8xE2YAJ"
"12440882","003VA00000J8xE3YAJ"
"12440881","003VA00000J8xE0YAJ"
"12440880","003VA00000J8xE1YAJ"
"12440877","003VA00000J8xE5YAJ"
"12440876","003VA00000J8xE6YAJ"
"12440796","003VA00000J8xCrYAJ"
"12440795","003VA00000J8xCvYAJ"
"12440794","003VA00000J8xCwYAJ"
"12440793","003VA00000J8xCsYAJ"
"12440792","003VA00000J8xCtYAJ"
"12440791","003VA00000J8xCxYAJ"
"12440773","003VA00000J8xD0YAJ"
"12440772","003VA00000J8xD1YAJ"
"12440733","003VA00000J8xBBYAZ"
"12440694","003VA00000J8xDEYAZ"
"12440692","003VA00000J8xDDYAZ"
"12440690","003VA00000J8xDFYAZ"
"12440676","003VA00000J8xDGYAZ"
"12440664","003VA00000J8xDHYAZ"
"12440662","003VA00000J8xDJYAZ"
"12440660","003VA00000J8xDIYAZ"
"12440659","003VA00000J8xDMYAZ"
"12440658","003VA00000J8xDNYAZ"
"12440657","003VA00000J8xDKYAZ"
"12440656","003VA00000J8xDLYAZ"
"12440655","003VA00000JjnWJYAZ"
"12440653","003VA00000JjnWHYAZ"
"12440651","003VA00000J8xDPYAZ"
"12440650","003VA00000J8xDQYAZ"
"12440649","003VA00000J8xDOYAZ"
"12440611","003VA00000J8xD7YAJ"
"12440609","003VA00000J8xD5YAJ"
"12440608","003VA00000J8xD6YAJ"
"12440607","003VA00000J8xD8YAJ"
"12440606","003VA00000J8xD9YAJ"
"12440597","003VA00000J8xDAYAZ"
"12440558","003VA00000JjnX1YAJ"
"12440553","003VA00000JjnX2YAJ"
"12440521","003VA00000J8xAmYAJ"
"12440514","003VA00000J8xAqYAJ"
"12440513","003VA00000J8xAnYAJ"
"12440512","003VA00000J8xAoYAJ"
"12440511","003VA00000J8xAdYAJ"
"12440410","003VA00000J8xB4YAJ"
"12440409","003VA00000J8xB2YAJ"
"12440408","003VA00000J8xB3YAJ"
"12440400","003VA00000J8xB5YAJ"
"12440399","003VA00000J8xB8YAJ"
"12440398","003VA00000J8xB9YAJ"
"12440397","003VA00000J8xB6YAJ"
"12440396","003VA00000J8xB7YAJ"
"12440374","003VA00000J8xArYAJ"
"12440368","003VA00000J8xAtYAJ"
"12440357","003VA00000J8xAuYAJ"
"12440299","003VA00000J8xA5YAJ"
"12440281","003VA00000J8xA7YAJ"
"12440280","003VA00000J8xA8YAJ"
"12440279","003VA00000JfoZqYAJ"
"12440277","003VA00000J8xAAYAZ"
"12440276","003VA00000J8xABYAZ"
"12440275","003VA00000J8xAEYAZ"
"12440274","003VA00000J8xAFYAZ"
"12440273","003VA00000J8xACYAZ"
"12440255","003VA00000J8x9rYAB"
"12440254","003VA00000J8x9sYAB"
"12440243","003VA00000J8x9vYAB"
"12440242","003VA00000J8x9wYAB"
"12440237","003VA00000J8x9xYAB"
"12440144","003VA00000J8xAZYAZ"
"12440143","003VA00000J8xAaYAJ"
"12440140","003VA00000JfoaQYAR"
"12440089","003VA00000J8xAKYAZ"
"12440061","003VA00000J8x94YAB"
"12440060","003VA00000J8x95YAB"
"12440059","003VA00000J8x98YAB"
"12440058","003VA00000J8x99YAB"
"12440057","003VA00000J8x96YAB"
"12440056","003VA00000J8x97YAB"
"12440055","003VA00000J8x9CYAR"
"12440054","003VA00000J8x9DYAR"
"12440053","003VA00000J8x9AYAR"
"12440052","003VA00000J8x9BYAR"
"12439989","003VA00000J8x8sYAB"
"12439976","003VA00000JfoVPYAZ"
"12439974","003VA00000J8x8wYAB"
"12439970","003VA00000J8x8zYAB"
"12439969","003VA00000J8x8xYAB"
"12439968","003VA00000J8x8yYAB"
"12439949","003VA00000J8x91YAB"
"12439937","003VA00000JfoVcYAJ"
"12439936","003VA00000J8x93YAB"
"12439935","003VA00000J8x9eYAB"
"12439926","003VA00000J8x9gYAB"
"12439925","003VA00000J8x9fYAB"
"12439899","003VA00000J8x9iYAB"
"12439856","003VA00000J8x9OYAR"
"12439855","003VA00000J8x9QYAR"
"12439854","003VA00000J8x9RYAR"
"12439852","003VA00000J8x9PYAR"
"12439851","003VA00000J8x9UYAR"
"12439850","003VA00000J8x9VYAR"
"12439849","003VA00000J8x9SYAR"
"12439848","003VA00000J8x9TYAR"
"12439834","003VA00000JfoWsYAJ"
"12439828","003VA00000J8x9WYAR"
"12439826","003VA00000J8x9ZYAR"
"12439825","003VA00000J8x9XYAR"
"12439824","003VA00000J8x9YYAR"
"12439807","003VA00000JfoU9YAJ"
"12439806","003VA00000JfoUAYAZ"
"12439805","003VA00000Jf0nTYAR"
"12439804","003VA00000Jf0nUYAR"
"12439803","003VA00000JfoUCYAZ"
"12439761","003VA00000J8x8cYAB"
"12439694","003VA00000Jf0nHYAR"
"12439693","003VA00000Jf0nEYAR"
"12439692","003VA00000J8x8TYAR"
"12439670","003VA00000J8x8jYAB"
"12439669","003VA00000J8x8iYAB"
"12439665","003VA00000JfoUuYAJ"
"12439661","003VA00000J8x8kYAB"
"12439660","003VA00000J8x8mYAB"
"12439644","003VA00000J8x8oYAB"
"12439641","003VA00000JfoV6YAJ"
"12439524","003VA00000J8x7zYAB"
"12439523","003VA00000J8x82YAB"
"12439522","003VA00000J8x83YAB"
"12439521","003VA00000J8x80YAB"
"12439520","003VA00000J8x81YAB"
"12439519","003VA00000Jfp2yYAB"
"12439518","003VA00000Jfp2zYAB"
"12439515","003VA00000J8x86YAB"
"12439514","003VA00000J8x87YAB"
"12439513","003VA00000J8x84YAB"
"12439512","003VA00000J8x85YAB"
"12439511","003VA00000J8x89YAB"
"12439510","003VA00000J8x8AYAR"
"12439488","003VA00000Jfp3AYAR"
"12439487","003VA00000Jfp2JYAR"
"12439472","003VA00000J8x7qYAB"
"12439427","003VA00000J8x7yYAB"
"12439423","003VA00000J8x8NYAR"
"12439381","003VA00000Jfp4CYAR"
"12439380","003VA00000Jfp4DYAR"
"12439379","003VA00000Jfp4GYAR"
"12439365","003VA00000J8x8OYAR"
"12439362","003VA00000J8x8PYAR"
"12439339","003VA00000J8x8FYAR"
"12439333","003VA00000J8x8GYAR"
"12439255","003VA00000JaBnXYAV"
"12439239","003VA00000Jfp0wYAB"
"12439238","003VA00000Jfp10YAB"
"12439237","003VA00000Jfp0qYAB"
"12439236","003VA00000Jfp0sYAB"
"12439235","003VA00000Jfp17YAB"
"12439234","003VA00000Jfp1AYAR"
"12439233","003VA00000Jfp11YAB"
"12439232","003VA00000Jfp13YAB"
"12439230","003VA00000J8x76YAB"
"12439229","003VA00000JfozzYAB"
"12439228","003VA00000J8x75YAB"
"12439227","003VA00000Jfp04YAB"
"12439210","003VA00000J8x78YAB"
"12439209","003VA00000J8x77YAB"
